nr;y92;x92;h
1;672600;352600;198.34
2;672700;352600;197.49
3;672800;352600;199.61
4;672500;352700;185.96
5;672600;352700;186.27
6;672700;352700;185.7
7;672800;352700;184.85
8;672900;352700;182.13
9;673000;352700;196.77
10;672300;352800;194.96
11;672400;352800;188.95
12;672500;352800;190.39
13;672600;352800;189.19
14;672700;352800;188.24
15;672800;352800;187.19
16;672900;352800;185.92
17;673000;352800;184.45
18;673100;352800;182.36
19;672200;352900;191.16
20;672300;352900;191.65
21;672400;352900;191.08
22;672500;352900;190.34
23;672600;352900;189.58
24;672700;352900;188.28
25;672800;352900;187.57
